image	set	methodA	methodB	bg_bg	bg_lv	bg_my	lv_bg	lv_lv	lv_my	my_bg	my_lv	my_my
17_slice010_frame015	train	scaled_masks	imagenetTransferLearn	63515	0	106	0	1208	4	18	86	599
52_slice004_frame023	train	scaled_masks	imagenetTransferLearn	64184	0	39	0	812	41	19	5	436
23_slice009_frame011	train	scaled_masks	imagenetTransferLearn	63272	0	141	0	1468	5	12	73	565
32_slice008_frame008	train	scaled_masks	imagenetTransferLearn	63787	0	151	0	929	16	2	58	593
20_slice012_frame016	train	scaled_masks	imagenetTransferLearn	63532	0	67	0	1285	17	1	16	618
23_slice005_frame002	train	scaled_masks	imagenetTransferLearn	63969	0	83	0	933	3	1	64	483
52_slice006_frame022	train	scaled_masks	imagenetTransferLearn	63502	0	98	0	1282	6	16	88	544
50_slice006_frame015	train	scaled_masks	imagenetTransferLearn	64194	0	44	0	757	28	33	23	457
51_slice009_frame006	train	scaled_masks	imagenetTransferLearn	63779	0	12	0	974	43	34	10	684
17_slice003_frame016	train	scaled_masks	imagenetTransferLearn	64114	0	16	0	842	44	84	14	422
53_slice003_frame022	train	scaled_masks	imagenetTransferLearn	63898	0	79	0	965	19	4	25	546
30_slice011_frame015	val	scaled_masks	imagenetTransferLearn	63686	0	82	0	1010	9	47	134	568
22_slice003_frame014	train	scaled_masks	imagenetTransferLearn	64640	0	104	0	529	11	0	26	226
22_slice007_frame021	train	scaled_masks	imagenetTransferLearn	63907	0	120	0	1083	12	0	37	377
51_slice014_frame006	train	scaled_masks	imagenetTransferLearn	65536	0	0	0	0	0	0	0	0
53_slice010_frame000	train	scaled_masks	imagenetTransferLearn	63041	0	82	0	1589	11	14	53	746
20_slice011_frame002	train	scaled_masks	imagenetTransferLearn	63685	0	82	0	1054	35	5	40	635
52_slice003_frame017	train	scaled_masks	imagenetTransferLearn	64503	0	70	0	548	12	13	56	334
44_slice009_frame015	train	scaled_masks	imagenetTransferLearn	63541	0	119	0	1302	16	1	42	515
17_slice001_frame016	train	scaled_masks	imagenetTransferLearn	64805	0	55	0	339	39	35	23	240
50_slice012_frame009	train	scaled_masks	imagenetTransferLearn	63985	0	31	0	479	182	19	0	840
17_slice003_frame009	train	scaled_masks	imagenetTransferLearn	64364	0	58	0	356	20	30	26	682
22_slice003_frame016	train	scaled_masks	imagenetTransferLearn	64616	0	93	0	540	15	7	28	237
36_slice007_frame017	val	scaled_masks	imagenetTransferLearn	63782	0	83	0	1102	0	8	67	494
53_slice010_frame009	train	scaled_masks	imagenetTransferLearn	63487	0	37	0	973	7	20	73	939
28_slice013_frame014	test	scaled_masks	imagenetTransferLearn	64058	0	14	48	912	10	185	23	286
30_slice005_frame011	val	scaled_masks	imagenetTransferLearn	64382	0	53	0	491	41	2	70	497
20_slice007_frame008	train	scaled_masks	imagenetTransferLearn	63885	0	73	0	770	0	19	133	656
26_slice008_frame013	test	scaled_masks	imagenetTransferLearn	63319	0	84	0	1189	28	33	52	831
27_slice011_frame004	test	scaled_masks	imagenetTransferLearn	64035	1009	492	0	0	0	0	0	0
20_slice002_frame018	train	scaled_masks	imagenetTransferLearn	64695	0	43	0	410	30	70	28	260
30_slice008_frame002	val	scaled_masks	imagenetTransferLearn	63798	0	103	0	986	38	61	75	475
53_slice001_frame000	train	scaled_masks	imagenetTransferLearn	64399	0	108	0	537	9	14	66	403
32_slice004_frame006	train	scaled_masks	imagenetTransferLearn	64385	0	69	0	370	82	33	5	592
21_slice010_frame004	train	scaled_masks	imagenetTransferLearn	63810	0	42	0	804	28	20	6	826
17_slice002_frame004	train	scaled_masks	imagenetTransferLearn	64517	0	70	0	364	54	14	18	499
22_slice009_frame020	train	scaled_masks	imagenetTransferLearn	63648	0	100	0	1282	18	8	44	436
31_slice007_frame004	train	scaled_masks	imagenetTransferLearn	63958	0	12	0	738	115	44	47	622
32_slice012_frame011	train	scaled_masks	imagenetTransferLearn	63654	0	98	0	954	19	73	89	649
51_slice002_frame007	train	scaled_masks	imagenetTransferLearn	64796	0	42	0	278	20	14	6	380
36_slice006_frame023	val	scaled_masks	imagenetTransferLearn	63715	0	61	0	1173	38	62	32	455
23_slice010_frame000	train	scaled_masks	imagenetTransferLearn	63138	0	34	0	1572	10	46	43	693
52_slice003_frame024	train	scaled_masks	imagenetTransferLearn	64374	0	1	0	611	61	88	1	400
35_slice009_frame012	val	scaled_masks	imagenetTransferLearn	64023	0	106	0	747	13	9	26	612
53_slice001_frame007	train	scaled_masks	imagenetTransferLearn	64501	0	52	0	305	4	45	47	582
19_slice012_frame011	val	scaled_masks	imagenetTransferLearn	62862	0	48	0	1415	12	76	118	1005
52_slice013_frame015	train	scaled_masks	imagenetTransferLearn	63274	0	67	0	1395	58	70	17	655
44_slice014_frame000	train	scaled_masks	imagenetTransferLearn	64117	0	23	301	676	8	108	27	276
53_slice009_frame001	train	scaled_masks	imagenetTransferLearn	63052	0	101	0	1593	5	38	56	691
30_slice002_frame020	val	scaled_masks	imagenetTransferLearn	64900	0	25	0	287	40	66	29	189
26_slice007_frame006	test	scaled_masks	imagenetTransferLearn	63457	0	69	0	1084	98	33	14	781
50_slice005_frame018	train	scaled_masks	imagenetTransferLearn	64264	0	36	0	678	20	24	31	483
55_slice006_frame008	train	scaled_masks	imagenetTransferLearn	63787	0	15	0	756	18	62	51	847
51_slice006_frame023	train	scaled_masks	imagenetTransferLearn	63834	0	81	0	1092	23	2	25	479
43_slice011_frame018	train	scaled_masks	imagenetTransferLearn	62744	0	114	0	1662	2	23	150	841
43_slice013_frame013	train	scaled_masks	imagenetTransferLearn	62851	0	64	0	1596	14	33	45	933
30_slice010_frame013	val	scaled_masks	imagenetTransferLearn	63540	0	148	0	1062	10	28	211	537
17_slice014_frame000	train	scaled_masks	imagenetTransferLearn	64259	0	0	474	380	0	371	3	49
36_slice009_frame005	val	scaled_masks	imagenetTransferLearn	63824	0	35	0	1045	55	18	5	554
44_slice006_frame003	train	scaled_masks	imagenetTransferLearn	63968	0	31	0	867	59	18	27	566
44_slice000_frame011	train	scaled_masks	imagenetTransferLearn	65536	0	0	0	0	0	0	0	0
42_slice001_frame015	val	scaled_masks	imagenetTransferLearn	64523	0	6	0	362	15	204	41	385
