image	set	methodA	methodB	bg_bg	bg_lv	bg_my	lv_bg	lv_lv	lv_my	my_bg	my_lv	my_my
42_slice009_frame012	val	scaled_masks	ukbb_preds_3class	62520	0	17	508	1477	94	600	0	320
31_slice010_frame018	train	scaled_masks	ukbb_preds_3class	63606	0	4	1341	0	17	551	0	17
32_slice008_frame002	train	scaled_masks	ukbb_preds_3class	63434	0	18	242	988	75	349	8	422
42_slice016_frame011	val	scaled_masks	ukbb_preds_3class	63335	0	0	1500	0	0	701	0	0
26_slice004_frame008	test	scaled_masks	ukbb_preds_3class	64185	0	62	118	425	116	185	17	428
27_slice013_frame006	test	scaled_masks	ukbb_preds_3class	65536	0	0	0	0	0	0	0	0
26_slice010_frame013	test	scaled_masks	ukbb_preds_3class	63216	0	29	295	767	124	751	28	326
50_slice008_frame017	train	scaled_masks	ukbb_preds_3class	63729	0	80	0	967	112	64	1	583
23_slice014_frame007	train	scaled_masks	ukbb_preds_3class	65536	0	0	0	0	0	0	0	0
28_slice010_frame012	test	scaled_masks	ukbb_preds_3class	63436	0	198	21	1238	58	30	42	513
53_slice008_frame011	train	scaled_masks	ukbb_preds_3class	63514	0	24	378	708	56	408	12	436
20_slice001_frame004	train	scaled_masks	ukbb_preds_3class	65059	0	0	0	0	0	477	0	0
50_slice011_frame016	train	scaled_masks	ukbb_preds_3class	63508	0	83	0	1033	105	79	12	716
26_slice000_frame000	test	scaled_masks	ukbb_preds_3class	65536	0	0	0	0	0	0	0	0
21_slice008_frame001	train	scaled_masks	ukbb_preds_3class	63369	0	59	0	1208	85	155	61	599
32_slice004_frame007	train	scaled_masks	ukbb_preds_3class	64449	0	0	463	0	0	624	0	0
42_slice010_frame015	val	scaled_masks	ukbb_preds_3class	62447	0	16	542	1407	115	670	16	323
52_slice002_frame016	train	scaled_masks	ukbb_preds_3class	64796	0	0	424	7	7	281	0	21
36_slice008_frame007	val	scaled_masks	ukbb_preds_3class	63961	0	56	0	739	80	76	4	620
20_slice014_frame007	train	scaled_masks	ukbb_preds_3class	65536	0	0	0	0	0	0	0	0
19_slice005_frame008	val	scaled_masks	ukbb_preds_3class	64018	0	0	518	148	4	777	12	59
36_slice003_frame006	val	scaled_masks	ukbb_preds_3class	64496	0	28	587	9	0	398	1	17
23_slice000_frame009	train	scaled_masks	ukbb_preds_3class	65536	0	0	0	0	0	0	0	0
43_slice005_frame000	train	scaled_masks	ukbb_preds_3class	63580	0	40	86	1025	64	231	2	508
53_slice004_frame006	train	scaled_masks	ukbb_preds_3class	64017	0	0	453	159	26	583	3	295
36_slice011_frame005	val	scaled_masks	ukbb_preds_3class	64096	0	63	1	719	123	115	28	391
53_slice007_frame004	train	scaled_masks	ukbb_preds_3class	63385	0	59	491	622	87	485	17	390
51_slice005_frame004	train	scaled_masks	ukbb_preds_3class	64069	0	55	89	689	73	248	6	307
35_slice007_frame003	val	scaled_masks	ukbb_preds_3class	63769	0	13	421	646	55	363	78	191
53_slice015_frame002	train	scaled_masks	ukbb_preds_3class	65536	0	0	0	0	0	0	0	0
21_slice010_frame011	train	scaled_masks	ukbb_preds_3class	63488	0	59	0	1178	93	60	12	646
23_slice004_frame010	train	scaled_masks	ukbb_preds_3class	64326	0	29	274	440	39	202	24	202
35_slice009_frame020	val	scaled_masks	ukbb_preds_3class	63717	0	199	0	1021	136	7	22	434
31_slice011_frame011	train	scaled_masks	ukbb_preds_3class	63788	0	1	944	0	0	802	0	1
35_slice010_frame020	val	scaled_masks	ukbb_preds_3class	63647	0	66	7	1099	125	177	12	403
55_slice000_frame023	train	scaled_masks	ukbb_preds_3class	64638	0	0	486	0	0	412	0	0
23_slice002_frame012	train	scaled_masks	ukbb_preds_3class	64976	0	0	287	0	0	273	0	0
28_slice001_frame013	test	scaled_masks	ukbb_preds_3class	64862	0	0	444	0	0	230	0	0
23_slice014_frame000	train	scaled_masks	ukbb_preds_3class	63575	0	39	412	833	26	245	31	375
35_slice009_frame014	val	scaled_masks	ukbb_preds_3class	63920	0	50	27	862	133	127	2	415
32_slice003_frame019	train	scaled_masks	ukbb_preds_3class	64452	0	0	571	0	0	513	0	0
31_slice001_frame004	train	scaled_masks	ukbb_preds_3class	65201	0	0	190	0	0	145	0	0
36_slice008_frame014	val	scaled_masks	ukbb_preds_3class	63885	0	50	0	942	53	48	46	512
52_slice006_frame016	train	scaled_masks	ukbb_preds_3class	63536	0	61	0	1200	56	98	32	553
53_slice009_frame019	train	scaled_masks	ukbb_preds_3class	63191	0	44	482	1007	54	398	5	355
31_slice001_frame005	train	scaled_masks	ukbb_preds_3class	65206	0	0	160	0	0	170	0	0
32_slice002_frame017	train	scaled_masks	ukbb_preds_3class	64710	0	0	462	0	0	364	0	0
50_slice000_frame003	train	scaled_masks	ukbb_preds_3class	65536	0	0	0	0	0	0	0	0
27_slice003_frame010	test	scaled_masks	ukbb_preds_3class	64380	0	69	43	478	55	143	157	211
30_slice002_frame021	val	scaled_masks	ukbb_preds_3class	64934	0	0	364	0	0	238	0	0
44_slice011_frame012	train	scaled_masks	ukbb_preds_3class	63652	0	69	60	1063	105	148	12	427
30_slice010_frame016	val	scaled_masks	ukbb_preds_3class	63499	0	63	0	1209	93	31	37	604
55_slice016_frame004	train	scaled_masks	ukbb_preds_3class	65536	0	0	0	0	0	0	0	0
51_slice005_frame002	train	scaled_masks	ukbb_preds_3class	63982	0	43	49	870	58	184	10	340
17_slice003_frame012	train	scaled_masks	ukbb_preds_3class	64380	0	0	556	5	0	576	7	12
44_slice011_frame007	train	scaled_masks	ukbb_preds_3class	64123	0	76	122	619	104	167	3	322
19_slice008_frame001	val	scaled_masks	ukbb_preds_3class	63069	0	34	826	683	17	666	15	226
28_slice009_frame007	test	scaled_masks	ukbb_preds_3class	63800	0	91	0	771	26	101	61	686
23_slice010_frame012	train	scaled_masks	ukbb_preds_3class	63201	0	104	0	1410	97	93	15	616
44_slice015_frame007	train	scaled_masks	ukbb_preds_3class	65536	0	0	0	0	0	0	0	0
51_slice000_frame021	train	scaled_masks	ukbb_preds_3class	65154	0	0	170	0	0	212	0	0
35_slice002_frame015	val	scaled_masks	ukbb_preds_3class	65148	0	0	187	0	0	201	0	0
55_slice009_frame006	train	scaled_masks	ukbb_preds_3class	64038	0	51	190	507	68	254	40	388
31_slice014_frame004	train	scaled_masks	ukbb_preds_3class	65536	0	0	0	0	0	0	0	0
19_slice009_frame019	val	scaled_masks	ukbb_preds_3class	62976	0	39	746	781	24	652	15	303
44_slice010_frame019	train	scaled_masks	ukbb_preds_3class	63457	0	83	225	1092	51	268	4	356
27_slice003_frame014	test	scaled_masks	ukbb_preds_3class	64338	0	93	0	701	69	25	27	283
55_slice008_frame013	train	scaled_masks	ukbb_preds_3class	63659	0	23	0	920	72	68	9	785
19_slice010_frame001	val	scaled_masks	ukbb_preds_3class	62668	0	56	491	1136	45	674	39	427
19_slice008_frame005	val	scaled_masks	ukbb_preds_3class	63460	0	0	887	0	0	1189	0	0
22_slice014_frame012	train	scaled_masks	ukbb_preds_3class	64098	0	50	0	780	51	241	19	297
35_slice009_frame006	val	scaled_masks	ukbb_preds_3class	63926	0	45	14	672	113	158	6	602
