image	set	methodA	methodB	bg_bg	bg_lv	bg_my	lv_bg	lv_lv	lv_my	my_bg	my_lv	my_my
53_slice002_frame009	train	scaled_masks	plainLearn	64270	0	57	0	308	0	12	90	799
19_slice006_frame007	val	scaled_masks	plainLearn	63665	0	220	0	678	6	5	125	837
30_slice006_frame008	val	scaled_masks	plainLearn	64139	0	49	0	829	37	30	32	420
26_slice002_frame012	test	scaled_masks	plainLearn	64554	0	123	0	354	88	14	0	403
53_slice002_frame011	train	scaled_masks	plainLearn	64268	0	62	0	545	10	13	52	586
44_slice010_frame005	train	scaled_masks	plainLearn	64073	0	46	0	681	34	40	38	624
30_slice012_frame002	val	scaled_masks	plainLearn	63794	0	90	0	958	12	27	78	577
19_slice013_frame004	val	scaled_masks	plainLearn	63515	0	21	48	908	0	446	103	495
52_slice009_frame011	train	scaled_masks	plainLearn	63421	0	74	0	1114	54	19	21	833
20_slice013_frame015	train	scaled_masks	plainLearn	63828	0	98	0	1011	11	4	43	541
50_slice016_frame006	train	scaled_masks	plainLearn	65536	0	0	0	0	0	0	0	0
21_slice002_frame009	train	scaled_masks	plainLearn	64647	0	21	0	480	26	22	6	334
30_slice003_frame014	val	scaled_masks	plainLearn	64735	0	10	0	325	91	126	14	235
23_slice010_frame007	train	scaled_masks	plainLearn	63727	0	70	0	886	31	9	87	726
31_slice006_frame000	train	scaled_masks	plainLearn	63869	0	8	0	1003	43	112	26	475
43_slice005_frame000	train	scaled_masks	plainLearn	63480	0	140	0	1159	16	8	106	627
43_slice014_frame008	train	scaled_masks	plainLearn	63357	0	83	0	1179	60	50	128	679
30_slice007_frame017	val	scaled_masks	plainLearn	63775	0	109	0	1101	1	16	72	462
17_slice013_frame000	train	scaled_masks	plainLearn	63925	0	69	0	929	37	42	32	502
27_slice005_frame007	test	scaled_masks	plainLearn	63975	0	34	0	654	23	105	54	691
20_slice014_frame012	train	scaled_masks	plainLearn	65536	0	0	0	0	0	0	0	0
55_slice002_frame021	train	scaled_masks	plainLearn	64120	0	11	0	745	14	100	61	485
28_slice011_frame013	test	scaled_masks	plainLearn	63499	0	146	0	1321	89	2	32	447
28_slice012_frame002	test	scaled_masks	plainLearn	63847	0	62	0	884	4	96	133	510
31_slice008_frame001	train	scaled_masks	plainLearn	63530	0	70	0	1172	9	50	51	654
42_slice007_frame008	val	scaled_masks	plainLearn	63091	0	25	0	1444	62	94	40	780
28_slice012_frame012	test	scaled_masks	plainLearn	63651	0	33	0	1079	23	58	80	612
17_slice001_frame014	train	scaled_masks	plainLearn	64828	0	44	0	308	53	61	25	217
42_slice002_frame003	val	scaled_masks	plainLearn	64399	0	10	0	404	90	213	8	412
55_slice001_frame016	train	scaled_masks	plainLearn	64378	0	11	0	585	51	50	33	428
52_slice005_frame015	train	scaled_masks	plainLearn	63946	0	38	0	989	109	45	4	405
55_slice000_frame003	train	scaled_masks	plainLearn	64564	0	45	0	300	8	48	56	515
44_slice008_frame015	train	scaled_masks	plainLearn	63589	0	63	0	1280	17	14	53	520
53_slice005_frame018	train	scaled_masks	plainLearn	63490	0	33	0	1260	27	82	31	613
20_slice007_frame015	train	scaled_masks	plainLearn	63636	0	88	0	1177	7	32	90	506
19_slice008_frame021	val	scaled_masks	plainLearn	62993	0	135	0	1590	21	21	80	696
53_slice002_frame015	train	scaled_masks	plainLearn	64111	0	103	0	824	13	6	32	447
32_slice008_frame000	train	scaled_masks	plainLearn	63348	0	74	0	1321	19	21	120	633
30_slice005_frame002	val	scaled_masks	plainLearn	64132	0	166	0	663	0	5	159	411
26_slice012_frame013	test	scaled_masks	plainLearn	63476	0	40	7	924	22	186	233	648
23_slice002_frame017	train	scaled_masks	plainLearn	64890	0	52	8	310	33	17	21	205
51_slice013_frame024	train	scaled_masks	plainLearn	63551	0	8	0	1216	77	94	12	578
28_slice007_frame005	test	scaled_masks	plainLearn	63748	0	47	0	907	27	40	23	744
23_slice011_frame009	train	scaled_masks	plainLearn	63601	0	69	0	1101	16	46	76	627
35_slice015_frame022	val	scaled_masks	plainLearn	63833	0	188	1	1012	29	39	77	357
27_slice006_frame000	test	scaled_masks	plainLearn	63609	0	36	0	1209	92	125	21	444
22_slice003_frame010	train	scaled_masks	plainLearn	64786	0	58	0	196	6	18	20	452
32_slice002_frame017	train	scaled_masks	plainLearn	64679	0	31	0	416	46	41	5	318
36_slice000_frame010	val	scaled_masks	plainLearn	65536	0	0	0	0	0	0	0	0
51_slice011_frame011	train	scaled_masks	plainLearn	63961	0	26	0	758	4	72	43	672
53_slice001_frame023	train	scaled_masks	plainLearn	64357	0	51	0	600	25	48	24	431
35_slice005_frame019	val	scaled_masks	plainLearn	64298	0	126	0	705	61	3	26	317
42_slice002_frame019	val	scaled_masks	plainLearn	64140	0	0	62	537	238	495	3	61
27_slice007_frame009	test	scaled_masks	plainLearn	63622	0	127	0	1182	10	9	82	504
36_slice003_frame005	val	scaled_masks	plainLearn	64393	0	159	0	627	38	13	16	290
27_slice006_frame002	test	scaled_masks	plainLearn	63632	0	62	0	1133	78	96	46	489
26_slice005_frame002	test	scaled_masks	plainLearn	63375	0	100	0	1288	7	22	107	637
28_slice012_frame014	test	scaled_masks	plainLearn	63672	0	31	0	1079	10	51	88	605
44_slice008_frame012	train	scaled_masks	plainLearn	63602	0	48	0	1232	6	55	56	537
55_slice001_frame003	train	scaled_masks	plainLearn	64290	0	63	0	504	15	27	84	553
51_slice000_frame006	train	scaled_masks	plainLearn	65536	0	0	0	0	0	0	0	0
20_slice011_frame004	train	scaled_masks	plainLearn	63957	0	66	0	828	12	9	32	632
23_slice012_frame000	train	scaled_masks	plainLearn	63186	0	35	0	1499	3	49	48	716
51_slice013_frame023	train	scaled_masks	plainLearn	63539	0	6	1	1207	50	112	15	606
31_slice006_frame011	train	scaled_masks	plainLearn	64057	0	143	0	926	77	11	9	313
52_slice001_frame002	train	scaled_masks	plainLearn	64964	0	40	0	203	0	24	40	265
20_slice014_frame011	train	scaled_masks	plainLearn	65536	0	0	0	0	0	0	0	0
19_slice014_frame011	val	scaled_masks	plainLearn	63185	0	72	0	1212	111	143	34	779
26_slice008_frame020	test	scaled_masks	plainLearn	62970	0	77	0	1654	69	48	11	707
20_slice000_frame005	train	scaled_masks	plainLearn	65536	0	0	0	0	0	0	0	0
27_slice002_frame000	test	scaled_masks	plainLearn	64453	0	129	0	604	15	3	69	263
36_slice007_frame012	val	scaled_masks	plainLearn	64059	0	83	0	847	21	13	33	480
55_slice016_frame001	train	scaled_masks	plainLearn	65536	0	0	0	0	0	0	0	0
26_slice013_frame011	test	scaled_masks	plainLearn	63728	0	0	1496	0	0	312	0	0
50_slice001_frame009	train	scaled_masks	plainLearn	65536	0	0	0	0	0	0	0	0
42_slice014_frame013	val	scaled_masks	plainLearn	62536	0	56	0	1818	17	94	68	947
28_slice006_frame016	test	scaled_masks	plainLearn	63569	0	193	0	1284	29	0	48	413
53_slice013_frame001	train	scaled_masks	plainLearn	63113	0	53	0	1441	48	55	34	792
20_slice012_frame006	train	scaled_masks	plainLearn	64023	0	23	269	580	7	409	39	186
51_slice007_frame012	train	scaled_masks	plainLearn	63965	0	80	0	769	18	2	85	617
21_slice000_frame007	train	scaled_masks	plainLearn	65536	0	0	0	0	0	0	0	0
28_slice006_frame012	test	scaled_masks	plainLearn	63688	0	103	0	1216	32	14	45	438
23_slice008_frame002	train	scaled_masks	plainLearn	63313	0	45	0	1414	12	26	40	686
21_slice011_frame000	train	scaled_masks	plainLearn	63399	0	14	0	1259	8	43	45	768
43_slice009_frame010	train	scaled_masks	plainLearn	63037	0	149	0	1585	36	12	37	680
53_slice003_frame024	train	scaled_masks	plainLearn	63860	0	16	0	937	39	91	13	580
17_slice001_frame023	train	scaled_masks	plainLearn	64804	0	60	0	313	1	36	37	285
43_slice012_frame006	train	scaled_masks	plainLearn	63451	0	120	0	977	29	11	38	910
35_slice005_frame005	val	scaled_masks	plainLearn	64134	0	116	0	725	29	14	28	490
51_slice000_frame013	train	scaled_masks	plainLearn	65279	5	67	0	0	0	10	90	85
52_slice005_frame012	train	scaled_masks	plainLearn	64090	0	11	0	687	25	88	31	604
21_slice007_frame008	train	scaled_masks	plainLearn	63923	0	21	0	848	11	35	26	672
35_slice005_frame003	val	scaled_masks	plainLearn	64074	0	144	0	815	8	11	85	399
28_slice014_frame012	test	scaled_masks	plainLearn	65536	0	0	0	0	0	0	0	0
28_slice011_frame009	test	scaled_masks	plainLearn	63988	15	280	0	711	2	18	189	333
43_slice002_frame007	train	scaled_masks	plainLearn	64554	0	13	0	158	0	156	144	511
42_slice015_frame019	val	scaled_masks	plainLearn	62648	0	7	50	1597	14	366	107	747
28_slice014_frame013	test	scaled_masks	plainLearn	65536	0	0	0	0	0	0	0	0
50_slice012_frame011	train	scaled_masks	plainLearn	63881	0	49	0	659	30	15	39	863
21_slice010_frame005	train	scaled_masks	plainLearn	63864	0	74	0	703	20	11	57	807
17_slice007_frame001	train	scaled_masks	plainLearn	63475	0	137	0	1334	50	11	50	479
28_slice008_frame006	test	scaled_masks	plainLearn	63767	0	103	0	878	3	6	79	700
32_slice009_frame015	train	scaled_masks	plainLearn	63279	0	74	0	1497	26	14	39	607
20_slice000_frame010	train	scaled_masks	plainLearn	65536	0	0	0	0	0	0	0	0
55_slice010_frame018	train	scaled_masks	plainLearn	63770	0	58	0	997	45	25	9	632
50_slice016_frame013	train	scaled_masks	plainLearn	65536	0	0	0	0	0	0	0	0
55_slice005_frame005	train	scaled_masks	plainLearn	63791	0	97	0	774	10	12	58	794
17_slice002_frame020	train	scaled_masks	plainLearn	64642	0	34	0	475	35	35	2	313
55_slice006_frame012	train	scaled_masks	plainLearn	63624	0	93	0	1074	9	1	77	658
30_slice013_frame005	val	scaled_masks	plainLearn	65462	61	13	0	0	0	0	0	0
55_slice008_frame010	train	scaled_masks	plainLearn	63946	0	86	0	689	2	11	91	711
26_slice013_frame020	test	scaled_masks	plainLearn	62916	0	59	0	1528	23	100	52	858
28_slice014_frame010	test	scaled_masks	plainLearn	65536	0	0	0	0	0	0	0	0
42_slice000_frame001	val	scaled_masks	plainLearn	65529	3	4	0	0	0	0	0	0
