image	set	methodA	methodB	bg_bg	bg_lv	bg_my	lv_bg	lv_lv	lv_my	my_bg	my_lv	my_my
26_slice009_frame001	test	scaled_masks_TR	doubleTransferLearn	62891	0	24	0	1711	17	58	37	798
27_slice006_frame009	test	scaled_masks_TR	doubleTransferLearn	63663	0	38	0	1186	58	37	23	531
26_slice009_frame000	test	scaled_masks_TR	doubleTransferLearn	62843	0	49	0	1755	34	70	28	757
26_slice010_frame010	test	scaled_masks_TR	doubleTransferLearn	63362	0	107	0	909	2	124	65	967
26_slice011_frame020	test	scaled_masks_TR	doubleTransferLearn	62871	0	61	0	1652	48	100	9	795
26_slice000_frame017	test	scaled_masks_TR	doubleTransferLearn	65536	0	0	0	0	0	0	0	0
26_slice004_frame019	test	scaled_masks_TR	doubleTransferLearn	63816	0	39	0	1083	38	68	14	478
26_slice010_frame023	test	scaled_masks_TR	doubleTransferLearn	62789	0	22	0	1738	45	111	39	792
28_slice006_frame018	test	scaled_masks_TR	doubleTransferLearn	63552	0	19	0	1290	58	65	32	520
26_slice013_frame024	test	scaled_masks_TR	doubleTransferLearn	62856	0	13	0	1643	105	68	22	829
26_slice004_frame002	test	scaled_masks_TR	doubleTransferLearn	63869	0	99	0	1051	12	0	27	478
28_slice011_frame012	test	scaled_masks_TR	doubleTransferLearn	63448	0	49	0	1307	24	40	24	644
27_slice013_frame007	test	scaled_masks_TR	doubleTransferLearn	65536	0	0	0	0	0	0	0	0
28_slice012_frame004	test	scaled_masks_TR	doubleTransferLearn	65536	0	0	0	0	0	0	0	0
28_slice012_frame018	test	scaled_masks_TR	doubleTransferLearn	63508	0	36	0	1243	106	48	12	583
26_slice003_frame020	test	scaled_masks_TR	doubleTransferLearn	64010	0	118	0	913	10	25	34	426
28_slice006_frame010	test	scaled_masks_TR	doubleTransferLearn	63824	0	37	0	940	15	32	68	620
27_slice000_frame005	test	scaled_masks_TR	doubleTransferLearn	64979	0	0	6	75	91	288	0	97
27_slice001_frame018	test	scaled_masks_TR	doubleTransferLearn	64516	0	15	0	492	88	124	16	285
27_slice009_frame014	test	scaled_masks_TR	doubleTransferLearn	63155	0	7	0	1492	28	183	45	626
26_slice000_frame022	test	scaled_masks_TR	doubleTransferLearn	65528	0	8	0	0	0	0	0	0
27_slice005_frame012	test	scaled_masks_TR	doubleTransferLearn	63712	0	14	0	1168	74	134	6	428
27_slice009_frame016	test	scaled_masks_TR	doubleTransferLearn	63189	0	27	0	1510	19	120	46	625
28_slice009_frame018	test	scaled_masks_TR	doubleTransferLearn	63091	0	4	0	1499	8	129	80	725
26_slice013_frame011	test	scaled_masks_TR	doubleTransferLearn	63626	0	0	1387	0	0	523	0	0
28_slice002_frame012	test	scaled_masks_TR	doubleTransferLearn	64397	0	7	0	622	54	114	27	315
