image	set	methodA	methodB	bg_bg	bg_lv	bg_my	lv_bg	lv_lv	lv_my	my_bg	my_lv	my_my
36_slice004_frame010	val	scaled_masks	baseModel	64476	0	5	0	333	180	70	0	472
27_slice010_frame012	test	scaled_masks	baseModel	63342	0	38	0	1365	157	68	3	563
50_slice004_frame017	train	scaled_masks	baseModel	64472	0	3	0	520	68	57	0	416
36_slice008_frame008	val	scaled_masks	baseModel	64047	0	62	0	670	99	40	6	612
26_slice000_frame005	test	scaled_masks	baseModel	65536	0	0	0	0	0	0	0	0
32_slice013_frame015	train	scaled_masks	baseModel	63652	0	49	0	1109	48	23	6	649
21_slice003_frame001	train	scaled_masks	baseModel	64180	0	88	0	631	72	227	26	312
52_slice011_frame006	train	scaled_masks	baseModel	63534	0	4	11	917	151	255	9	655
35_slice007_frame005	val	scaled_masks	baseModel	63896	0	120	0	872	139	45	10	454
35_slice007_frame010	val	scaled_masks	baseModel	64110	0	65	0	619	37	23	20	662
30_slice002_frame002	val	scaled_masks	baseModel	64757	0	0	476	0	0	303	0	0
53_slice009_frame004	train	scaled_masks	baseModel	63354	0	60	0	1184	99	98	1	740
17_slice007_frame002	train	scaled_masks	baseModel	63469	0	25	0	1198	187	111	10	536
17_slice003_frame000	train	scaled_masks	baseModel	64096	0	11	0	698	184	189	5	353
53_slice004_frame020	train	scaled_masks	baseModel	63668	0	0	0	956	198	244	0	470
20_slice006_frame020	train	scaled_masks	baseModel	63811	0	4	0	1014	44	153	6	504
32_slice011_frame018	train	scaled_masks	baseModel	63351	0	32	9	1401	169	134	8	432
21_slice013_frame007	train	scaled_masks	baseModel	64239	0	20	0	616	151	69	15	426
51_slice000_frame008	train	scaled_masks	baseModel	65536	0	0	0	0	0	0	0	0
42_slice009_frame010	val	scaled_masks	baseModel	62546	0	0	0	1873	209	245	4	659
27_slice008_frame003	test	scaled_masks	baseModel	63459	0	17	0	1205	102	71	1	681
42_slice009_frame004	val	scaled_masks	baseModel	63057	0	0	0	1086	109	213	4	1067
19_slice014_frame006	val	scaled_masks	baseModel	65536	0	0	0	0	0	0	0	0
43_slice001_frame003	train	scaled_masks	baseModel	65536	0	0	0	0	0	0	0	0
42_slice009_frame002	val	scaled_masks	baseModel	62819	0	7	0	1526	139	182	9	854
53_slice003_frame010	train	scaled_masks	baseModel	64141	0	13	71	405	127	354	2	423
23_slice008_frame010	train	scaled_masks	baseModel	63500	0	0	0	1215	173	198	0	450
22_slice003_frame009	train	scaled_masks	baseModel	64832	0	7	0	159	83	71	0	384
55_slice006_frame024	train	scaled_masks	baseModel	63482	0	39	0	1265	97	27	1	625
31_slice014_frame018	train	scaled_masks	baseModel	65536	0	0	0	0	0	0	0	0
55_slice000_frame009	train	scaled_masks	baseModel	64739	0	6	0	169	71	133	1	417
43_slice010_frame016	train	scaled_masks	baseModel	62939	0	98	0	1566	170	81	6	676
17_slice013_frame011	train	scaled_masks	baseModel	65511	25	0	0	0	0	0	0	0
55_slice007_frame004	train	scaled_masks	baseModel	63743	0	39	0	828	79	80	3	764
53_slice007_frame013	train	scaled_masks	baseModel	63487	0	48	0	1177	154	137	0	533
43_slice015_frame008	train	scaled_masks	baseModel	64173	777	586	0	0	0	0	0	0
55_slice002_frame017	train	scaled_masks	baseModel	64139	0	0	9	633	81	234	1	439
19_slice007_frame014	val	scaled_masks	baseModel	63345	0	79	0	1258	69	77	15	693
50_slice009_frame016	train	scaled_masks	baseModel	63669	0	44	0	1024	94	70	0	635
32_slice011_frame000	train	scaled_masks	baseModel	63289	0	14	68	1203	240	219	6	497
35_slice010_frame000	val	scaled_masks	baseModel	63547	0	51	0	1194	77	104	11	552
31_slice006_frame019	train	scaled_masks	baseModel	63839	7	53	0	1028	126	96	23	364
27_slice002_frame010	test	scaled_masks	baseModel	64672	0	76	1	299	6	48	215	219
50_slice011_frame017	train	scaled_masks	baseModel	63532	0	22	0	1046	104	63	4	765
44_slice004_frame006	train	scaled_masks	baseModel	64385	0	22	0	346	44	128	3	608
52_slice001_frame007	train	scaled_masks	baseModel	65536	0	0	0	0	0	0	0	0
36_slice006_frame019	val	scaled_masks	baseModel	63819	0	6	0	989	182	194	0	346
30_slice009_frame015	val	scaled_masks	baseModel	63706	0	10	19	831	203	388	3	376
50_slice011_frame015	train	scaled_masks	baseModel	63596	0	11	0	1028	115	68	0	718
35_slice002_frame024	val	scaled_masks	baseModel	65013	0	24	21	192	49	84	0	153
52_slice008_frame018	train	scaled_masks	baseModel	63113	0	14	0	1529	145	154	4	577
17_slice002_frame023	train	scaled_masks	baseModel	64592	0	0	0	439	122	158	0	225
28_slice001_frame016	test	scaled_masks	baseModel	64868	0	0	48	227	115	211	0	67
20_slice002_frame001	train	scaled_masks	baseModel	64716	0	0	462	0	0	358	0	0
51_slice003_frame022	train	scaled_masks	baseModel	64476	0	20	0	609	71	63	0	297
51_slice004_frame008	train	scaled_masks	baseModel	64340	0	9	0	423	69	132	0	563
19_slice006_frame016	val	scaled_masks	baseModel	63617	0	64	0	1102	88	55	6	604
19_slice011_frame001	val	scaled_masks	baseModel	62749	0	41	0	1470	64	179	110	923
53_slice010_frame011	train	scaled_masks	baseModel	63463	0	25	0	999	81	122	0	846
36_slice001_frame015	val	scaled_masks	baseModel	64822	0	0	398	1	8	307	0	0
32_slice005_frame019	train	scaled_masks	baseModel	63930	0	0	305	571	34	411	17	268
20_slice007_frame009	train	scaled_masks	baseModel	63928	0	7	10	708	50	285	18	530
23_slice013_frame013	train	scaled_masks	baseModel	63446	0	11	0	1271	133	135	3	537
23_slice010_frame008	train	scaled_masks	baseModel	63755	0	11	0	889	41	44	14	782
19_slice013_frame021	val	scaled_masks	baseModel	62725	0	0	1656	7	4	941	0	203
21_slice004_frame011	train	scaled_masks	baseModel	64020	0	19	0	885	91	114	1	406
27_slice006_frame007	test	scaled_masks	baseModel	63920	0	11	0	800	36	102	103	564
43_slice000_frame012	train	scaled_masks	baseModel	65536	0	0	0	0	0	0	0	0
55_slice016_frame006	train	scaled_masks	baseModel	65536	0	0	0	0	0	0	0	0
26_slice002_frame016	test	scaled_masks	baseModel	64292	5	43	0	656	42	117	32	349
22_slice009_frame001	train	scaled_masks	baseModel	63645	0	38	0	1214	80	57	33	469
19_slice002_frame008	val	scaled_masks	baseModel	64783	0	0	89	108	20	495	8	33
35_slice004_frame018	val	scaled_masks	baseModel	64654	0	25	0	440	109	77	4	227
17_slice005_frame012	train	scaled_masks	baseModel	64093	0	0	0	769	88	98	0	488
22_slice004_frame009	train	scaled_masks	baseModel	64638	0	4	0	244	119	76	0	455
23_slice003_frame007	train	scaled_masks	baseModel	64681	0	0	7	152	132	355	0	209
22_slice004_frame002	train	scaled_masks	baseModel	64446	0	6	0	617	41	51	5	370
22_slice012_frame008	train	scaled_masks	baseModel	64199	0	20	0	572	157	29	12	547
52_slice003_frame015	train	scaled_masks	baseModel	64381	157	121	0	464	50	113	21	229
35_slice015_frame002	val	scaled_masks	baseModel	63923	0	0	1086	0	0	504	0	23
42_slice001_frame017	val	scaled_masks	baseModel	64400	0	0	431	0	0	705	0	0
28_slice002_frame003	test	scaled_masks	baseModel	64545	0	0	2	407	79	183	0	320
20_slice011_frame003	train	scaled_masks	baseModel	63881	0	44	0	868	71	30	1	641
43_slice012_frame017	train	scaled_masks	baseModel	62740	0	0	0	1519	149	319	51	758
17_slice007_frame008	train	scaled_masks	baseModel	63875	0	56	0	645	111	66	25	758
26_slice009_frame022	test	scaled_masks	baseModel	62890	0	66	0	1578	234	133	21	614
43_slice003_frame003	train	scaled_masks	baseModel	64280	0	3	0	487	39	236	37	454
19_slice004_frame002	val	scaled_masks	baseModel	64172	0	29	0	642	42	39	0	612
44_slice002_frame008	train	scaled_masks	baseModel	64867	0	1	96	179	59	219	0	115
55_slice014_frame010	train	scaled_masks	baseModel	65536	0	0	0	0	0	0	0	0
17_slice002_frame011	train	scaled_masks	baseModel	64741	0	4	11	309	51	158	1	261
52_slice011_frame021	train	scaled_masks	baseModel	63007	0	3	0	1495	127	264	18	622
52_slice012_frame015	train	scaled_masks	baseModel	63189	0	0	0	1257	233	251	0	606
28_slice007_frame006	test	scaled_masks	baseModel	63856	0	40	0	785	76	45	11	723
21_slice011_frame012	train	scaled_masks	baseModel	63529	0	1	0	1146	76	115	10	659
19_slice010_frame000	val	scaled_masks	baseModel	62683	0	51	0	1593	124	200	39	846
36_slice012_frame008	val	scaled_masks	baseModel	65536	0	0	0	0	0	0	0	0
51_slice014_frame023	train	scaled_masks	baseModel	65536	0	0	0	0	0	0	0	0
42_slice015_frame010	val	scaled_masks	baseModel	62897	0	0	1517	0	0	1066	0	56
28_slice006_frame002	test	scaled_masks	baseModel	63597	0	15	48	1019	274	245	0	338
23_slice002_frame010	train	scaled_masks	baseModel	64995	0	0	343	0	0	198	0	0
19_slice015_frame010	val	scaled_masks	baseModel	65536	0	0	0	0	0	0	0	0
19_slice006_frame012	val	scaled_masks	baseModel	63610	0	96	0	1115	48	51	9	607
52_slice000_frame013	train	scaled_masks	baseModel	65501	11	24	0	0	0	0	0	0
21_slice007_frame006	train	scaled_masks	baseModel	63883	0	17	0	662	26	91	33	824
42_slice000_frame000	val	scaled_masks	baseModel	64789	0	0	220	0	0	527	0	0
51_slice010_frame009	train	scaled_masks	baseModel	63913	0	3	0	581	213	182	5	639
51_slice012_frame020	train	scaled_masks	baseModel	63571	0	3	257	684	349	283	0	389
30_slice000_frame013	val	scaled_masks	baseModel	65536	0	0	0	0	0	0	0	0
31_slice011_frame006	train	scaled_masks	baseModel	64025	0	0	237	356	113	417	0	388
53_slice003_frame006	train	scaled_masks	baseModel	64119	0	0	0	506	80	122	0	709
31_slice010_frame009	train	scaled_masks	baseModel	63876	0	0	233	483	47	447	17	433
30_slice013_frame019	val	scaled_masks	baseModel	63821	0	11	6	903	238	144	3	410
51_slice005_frame015	train	scaled_masks	baseModel	64076	0	1	0	872	103	114	8	362
32_slice005_frame010	train	scaled_masks	baseModel	64020	0	23	0	877	161	138	0	317
51_slice007_frame013	train	scaled_masks	baseModel	63999	0	14	0	760	146	105	0	512
17_slice012_frame002	train	scaled_masks	baseModel	63766	0	0	596	286	237	424	0	227
17_slice012_frame022	train	scaled_masks	baseModel	63679	0	1	0	896	240	152	4	564
21_slice016_frame006	train	scaled_masks	baseModel	65536	0	0	0	0	0	0	0	0
52_slice008_frame005	train	scaled_masks	baseModel	63378	0	5	0	1177	150	108	9	709
22_slice002_frame016	train	scaled_masks	baseModel	64861	0	27	129	224	27	142	9	117
32_slice006_frame003	train	scaled_masks	baseModel	63892	0	0	882	0	6	703	0	53
51_slice008_frame022	train	scaled_masks	baseModel	63613	0	1	0	1153	123	159	0	487
53_slice007_frame005	train	scaled_masks	baseModel	63495	0	28	0	960	118	85	9	841
32_slice005_frame008	train	scaled_masks	baseModel	64254	0	14	3	604	118	107	4	432
20_slice001_frame004	train	scaled_masks	baseModel	65059	0	0	0	0	0	477	0	0
22_slice007_frame010	train	scaled_masks	baseModel	64235	0	7	0	628	98	81	0	487
53_slice000_frame005	train	scaled_masks	baseModel	64870	0	18	18	268	30	186	10	136
43_slice006_frame004	train	scaled_masks	baseModel	63748	0	29	0	795	90	78	0	796
43_slice007_frame015	train	scaled_masks	baseModel	63378	0	123	0	1341	110	14	11	559
35_slice000_frame001	val	scaled_masks	baseModel	65536	0	0	0	0	0	0	0	0
28_slice001_frame000	test	scaled_masks	baseModel	64850	0	6	110	213	54	225	0	78
42_slice000_frame002	val	scaled_masks	baseModel	65536	0	0	0	0	0	0	0	0
20_slice004_frame003	train	scaled_masks	baseModel	64423	0	0	248	224	83	310	1	247
32_slice011_frame019	train	scaled_masks	baseModel	63305	0	29	1	1428	94	102	18	559
30_slice000_frame024	val	scaled_masks	baseModel	65498	38	0	0	0	0	0	0	0
21_slice011_frame006	train	scaled_masks	baseModel	63948	0	11	0	601	90	103	7	776
32_slice010_frame016	train	scaled_masks	baseModel	63335	0	27	0	1409	126	95	5	539
43_slice000_frame017	train	scaled_masks	baseModel	65536	0	0	0	0	0	0	0	0
51_slice010_frame011	train	scaled_masks	baseModel	63935	0	4	0	679	132	133	0	653
28_slice008_frame018	test	scaled_masks	baseModel	63424	0	80	0	1359	183	8	34	448
50_slice004_frame023	train	scaled_masks	baseModel	64382	0	0	0	521	98	140	0	395
